Entry	Interacts with	Cross-reference (STRING)
P07269		4932.YDL106C;
P28004	Q12417; Q04048; Q06137	4932.YAL032C;
Q99359	P47037	4932.YDR014W;
P09368		4932.YLR142W;
Q12194		4932.YPL066W;
P50861		4932.YOL143C;
Q03792		4932.YMR154C;
P0CX54		
P49167		4932.YLR325C;
Q04599		4932.YDR116C;
Q12530		4932.YLR145W;
P53060		4932.YGL250W;
P32521	P39013; Q04439; P32790; P38856	4932.YIR006C;
P38747		4932.YHL013C;
P40585		4932.YIR041W;
P38232	P06782	4932.YBR050C;
P06781		4932.YNL090W;
P41056		4932.YOR234C;
Q04598		4932.YDR115W;
P0CX87		
P02400	P05318	4932.YDR382W;
P47006		4932.YJL148W;
P23250		4932.YIL119C;
P38130		4932.YBR205W;
P30624		4932.YOR317W;
P11746	P0CY08	4932.YMR043W;
P32266	P38297; Q03327	4932.YOR211C;
Q12457		4932.YDR026C;
P53224	P25045; Q06144	4932.YGR038W;
P31374	P32861	4932.YAL017W;
P0CX53		4932.YEL054C;
P54784	P54791; P38826; P21691	4932.YML065W;
P49686	Q12315; Q06142; Q02629; Q02630; P48837	4932.YDR192C;
P40035		4932.YER053C;
Q08215	P33760	4932.YOL044W;
Q03776		4932.YDR235W;
P53972		4932.YNL022C;
P40352	P35732	4932.YJR035W;
P31244	P06779	4932.YBR114W;
Q06407	Q12518; Q05785; Itself; O88339	4932.YDR379W;
P0CX44		
P36520		4932.YNL284C;
P32387	P36534	4932.YDR405W;
P20084		4932.YMR286W;
P10664		4932.YBR031W;
P17890		4932.YNL151C;
P41057		4932.YLR388W;
Q05942	P53734; P34241; P47108	4932.YLR221C;
Q03976		4932.YDR175C;
P53733		4932.YNR037C;
P38632	P53067; Q08204	4932.YEL019C;
P53427		4932.YLR461W;
P38768	P02829; Q12498; P25359; Q03940; Q12464; P25638	4932.YHR034C;
P53174		4932.YGL053W;
P47065		4932.YJL023C;
Q08647		4932.YOR243C;
P06779	Q03071; P31244; P0CS90	4932.YJR052W;
P11938	Q08649; P03069; P07261; P29539; Q06208; P06701; P11978	4932.YNL216W;
Q00453	P39940	4932.YMR182C;
P43565	P13186	4932.YFL033C;
P0C2H7		4932.YDR471W;
O14455	Q04322	4932.YPL249C-A;
P27801	P12868; P20795	4932.YLR148W;
Q02890	P32628	4932.YPL096W;
P38361	Itself	4932.YBR296C;
Q05788		4932.YLR209C;
P40506	P36076; P53332	4932.YIL083C;
P40303	P38779; P22141; P30656; P38937	4932.YOL038W;
P33411		4932.YGR006W;
P23724	P30656	4932.YBL041W;
P36082		4932.YKL076C;
P30402		4932.YMR271C;
P39729		4932.YAL036C;
Q03530		4932.YMR274C;
Q06208	P11938	4932.YLR453C;
P43556		4932.YFL047W;
P05745		4932.YMR194W;
P36532		4932.YBR268W;
P32529		4932.YJR063W;
P40033		4932.YER050C;
Q03430		4932.YDR494W;
Q12326		4932.YOL056W;
P21243	P21242; P30656; P23639	4932.YGL011C;
P40359	Q12488; Q12146; Q03406	4932.YJL072C;
P38972		4932.YGR061C;
P14737	P32562; P47027; P22216	4932.YDR217C;
P21651	P29467; Itself; P32841; Q03012	4932.YJR021C;
Q12188		4932.YPR007C;
Q07844		4932.YLL034C;
Q02753		4932.YBR191W;
P36525		4932.YMR193W;
P54790	P32833; P54791; P38826; Q12495	4932.YLL004W;
P52891	Q02629; P35729; P49687; Itself	4932.YDL116W;
Q07913	Q08204; Q12749	4932.YLR007W;
P50946	P53949; P53965	4932.YNL099C;
P53238		4932.YGR058W;
P09232		4932.YEL060C;
P26570	P36076; P33329; P36024; Q08438	4932.YML016C;
