Entry	Interacts with
P07269	
P28004	Q12417; Q04048; Q06137
Q99359	P47037
P09368	
Q12194	
P50861	
Q03792	
P0CX54	
P49167	
Q04599	
Q12530	
P53060	
P32521	P39013; Q04439; P32790; P38856
P38747	
P40585	
P38232	P06782
P06781	
P41056	
Q04598	
P0CX87	
P02400	P05318
P47006	
P23250	
P38130	
P30624	
P11746	P0CY08
P32266	P38297; Q03327
Q12457	
P53224	P25045; Q06144
P31374	P32861
P0CX53	
P54784	P54791; P38826; P21691
P49686	Q12315; Q06142; Q02629; Q02630; P48837
P40035	
Q08215	P33760
Q03776	
P53972	
P40352	P35732
P31244	P06779
Q06407	Q12518; Q05785; Itself; O88339
P0CX44	
P36520	
P32387	P36534
P20084	
P10664	
P17890	
P41057	
Q05942	P53734; P34241; P47108
Q03976	
P53733	
P38632	P53067; Q08204
P53427	
P38768	P02829; Q12498; P25359; Q03940; Q12464; P25638
P53174	
P47065	
Q08647	
P06779	Q03071; P31244; P0CS90
P11938	Q08649; P03069; P07261; P29539; Q06208; P06701; P11978
Q00453	P39940
P43565	P13186
P0C2H7	
O14455	Q04322
P27801	P12868; P20795
Q02890	P32628
P38361	Itself
Q05788	
P40506	P36076; P53332
P40303	P38779; P22141; P30656; P38937
P33411	
P23724	P30656
P36082	
P30402	
P39729	
Q03530	
Q06208	P11938
P43556	
P05745	
P36532	
P32529	
P40033	
Q03430	
Q12326	
P21243	P21242; P30656; P23639
P40359	Q12488; Q12146; Q03406
P38972	
P14737	P32562; P47027; P22216
P21651	P29467; Itself; P32841; Q03012
Q12188	
Q07844	
Q02753	
P36525	
P54790	P32833; P54791; P38826; Q12495
P52891	Q02629; P35729; P49687; Itself
Q07913	Q08204; Q12749
P50946	P53949; P53965
P53238	
P09232	
P26570	P36076; P33329; P36024; Q08438
P53633	P07560; P01123; P38146; P48559; P38555; P51996; P36018; Q99260
Q07807	
Q00816	P32598; P06782
Q06709	
P05740	
Q12690	
P38061	
Q01080	
P38204	
P38792	P53859; Q08162; P46948
Q3E7Y3	
P54999	Q12330
Q02629	Q06142; Q02630; P49686; P48837; P52891; P46673
P53112	Q06389; P80667; P40155; P32800; P35056; P33760
Q07987	
P38624	
P33334	P32357; P32639; P36006; Q04439; Q00916
P21264	
P25339	
Q12221	
P32901	Q04182
P50109	
Q03713	
P51401	
Q04031	
P53256	P53859; Q08162; P46948
P0CX48	
P07272	
P53549	P43588; P33299; P33298; P33297; Q01939
P39551	
P33329	P36076; P26570
P25332	
P11154	P39940
P53721	
P26755	P22336
P32445	
P26785	
P36533	
P47076	P20436; P32910
P25042	
P40156	
P39533	
Q02895	
Q00362	Q03018; Q04439
P32323	P32781
P53109	
P47127	
Q12157	
Q08235	P36049; P43586; P39744; P21304; Q05022
P47136	P38928; P25342; Q12280
P15703	
P50084	
P38041	P29366; Q00684; P40020; Q08229; Q03780; P40095; P47115; P54786
Q12128	
Q06350	
P07834	Q12018; P38779; Q08273; P36054; P38634; P52286
P38170	P38989
Q08685	P39081
P38249	P32497; P06103; P40217
P17261	
Q12403	
P36001	
Q08911	
Q03898	Q00684; P24869
P53279	
P46949	
P38297	P32266; Q03327
P38785	P47113; P26448; P32458; P32468; Q00684; P32457
P43579	Q03435
Q12345	
P40060	Q03435
P32617	
P28834	P28241
P41734	
Q08773	P53125
P47156	
P21954	P16474
P04806	
P04807	
P17709	
P32464	P38692; Q08817
P43581	P02829
P54862	
P40441	
P39924	
P42833	
P54854	
P47185	
P53631	
P32465	
P23585	
P32466	
P32467	
P38695	
P39003	
P39004	
P40886	
P40885	
P07286	
P36035	
P40565	P46947; Q07930
P38211	
P32363	
P17695	
Q02630	Q12453; P40066; Q06142; Q99257; Q02629; Itself; P47054; P49686; P48837; P40368; P46673
P38271	
P32854	Q12154; P36015
P32523	P40968; Q03654; Q12309; Q12046; P21374; P38302; Itself; Q06091; Q04048; P53277; Q06525; Q12208
P53043	P15108; P02829
P38958	
Q01329	Q12102; P45976; P29468; P39927; P53538; Q06224
Q12161	
P24000	
P32496	Q08723; P33298
P11745	
P25367	Itself; P25294
Q08746	P47069; P36160
Q08745	
Q07829	
Q01855	
P39939	
P0CX55	
P03882	
Q03144	Q03148
P33336	
P42843	P52286
P25357	
Q03868	
Q04359	
Q08817	P32464; P38692
P38247	Q00582; Q02205; Itself
P32343	
P41930	
P47002	
P39926	
P25344	P40073; P23561
P41806	
P39933	
Q12052	P40342
P36165	
Q03050	
P20133	Q00618
P0CE93	
P39685	
P40534	
P30657	P30656
P38148	
P41805	
P51402	
Q12189	
P25299	P39081; P25298; P54000
Q06511	P20484; Q12176; P38789; Q12153
Q04007	
Q12133	P15367
P53394	
P40073	P42884; P36122; Q07533; P11710; P40036; Q05080; P53901; Q12446; P53153; P21339; P08018; P39081; P39083; P23561; P25344; Q06412
P39073	
P38789	P36049; Q06511
P32583	
P32048	
O13539	P33441
Q12272	
P07275	
A0A0B7P221	
P38344	Q03862; P53863; P53145
Q04231	
P16664	P40395
Q06624	P52488
Q99188	
P53893	Q07953
P38927	Q08949; Q02574; P12689; P14284
Q12270	P32912
P05738	
Q3E7X9	
P48589	
P25632	Q07979; P43609
P48164	
Q08281	
Q12751	
P38850	Q06164; P47050; Q12098
P36068	P32492; Q04373; P38272
Q08230	
Q06236	
P33335	
P23179	P33323; Q02793
P33328	P32867
Q03148	Q03144
P36169	
